Date & Time,Amoranto Sport Complex,Bagong Silangan Evacuation Center,Balingasa Elementary School,Balingasa High School,Batasan Hills,Brgy. Baesa,Brgy. Fairview,Brgy. Masambong,Brgy. NS Amoranto,Brgy. Valencia,Commonwealth Highschool,Dona Juana Elementary School,Doña Imelda,Emilio Jacinto,Flora A Ylagan High School,Holy Spirit,Ismael Mathay Senior High School,Jose Maria Panganiban Senior High School,Jose P Laurel Senior High School,Kaingin 1 Satellite Office,Kaligayahan,Kalusugan Brgy Hall,Kaunlaran Barangay Hall,Laging Handa Barangay Hall,Lagro High School,Libis,Lupang Pangako Elementary School,Maharlika Brgy Hall,Maligaya High School,Nagkaisang Nayon,New Era Brgy Hall,North Fairview Elementary School,Old Balara Elementary School,Payatas Elementary School,Phil-Am,Pinyahan Multipurpose Hall,Placido Delmundo Elementary School,Project 6 Barangay Hall,QCU,QCDRRMO,Quezon City University San Francisco Campus,Quirino High School,Ramon Magsaysay,Ramon Magsaysay Brgy Hall,Ramon Magsaysay Elementary School,San Agustin Brgy Hall,San Roque Barangay Hall,Sauyo Elementary School,Sikatuna Brgy Hall,South Triangle,Talipapa,Tandang Sora,Toro Hills Elementary School,UP Village,Ugong Norte
2025-07-19 00:00,0.000,0.500,,0.500,,0.500,0.500,,0.000,0.000,,0.500,,,,,0.000,0.000,0.000,0.500,,0.000,,,,,,0.000,,,0.000,0.500,0.000,,,0.000,,,,11.610,,0.000,,,,0.000,,0.500,,,,,0.000,,
2025-07-19 01:00,0.000,0.000,,0.000,,0.000,0.000,,0.000,0.500,,0.000,,,,,0.000,0.000,0.000,0.000,,0.000,,,,,,0.000,,,0.000,0.000,0.000,,,0.000,,,,1.890,,0.000,,,,0.000,,0.000,,,,,0.000,,
2025-07-19 02:00,7.500,3.500,,0.000,,0.000,0.000,,4.000,26.000,,0.000,,,,,0.000,0.500,17.500,15.500,,8.500,,,,,,4.000,,,3.500,0.000,5.000,,,15.500,,,,3.090,,26.500,,,,1.000,,0.000,,,,,0.000,,
2025-07-19 03:00,10.500,13.500,,9.500,,9.000,6.500,,10.500,25.000,,8.500,,,,,16.000,6.000,19.000,14.000,,12.000,,,,,,12.000,,,10.500,6.500,11.500,,,11.500,,,,15.990,,16.500,,,,6.500,,8.000,,,,,9.000,,
2025-07-19 04:00,27.500,21.000,,24.000,,14.000,8.500,,22.500,19.000,,14.000,,,,,34.000,5.000,21.500,28.500,,31.000,,,,,,27.500,,,19.500,8.500,20.500,,,30.000,,,,14.460,,21.000,,,,4.500,,12.500,,,,,17.500,,
2025-07-19 05:00,4.500,23.500,,7.500,,18.000,23.000,,4.500,4.500,,24.500,,,,,34.000,20.000,4.500,15.000,,3.500,,,,,,5.000,,,20.500,25.000,23.000,,,5.500,,,,27.020,,5.000,,,,15.500,,20.500,,,,,15.500,,
2025-07-19 06:00,1.000,2.000,,0.500,,1.000,2.000,,0.500,5.000,,2.000,,,,,1.000,1.500,5.000,2.500,,1.000,,,,,,0.500,,,1.500,2.000,1.500,,,1.500,,,,13.900,,5.000,,,,1.500,,1.500,,,,,1.000,,
2025-07-19 07:00,2.000,0.500,,1.000,,2.500,0.000,,2.000,5.000,,0.000,,,,,3.000,0.500,5.500,2.000,,2.500,,,,,,2.500,,,2.000,0.000,1.500,,,2.500,,,,2.640,,4.500,,,,0.000,,0.500,,,,,1.000,,
2025-07-19 08:00,13.000,16.000,,18.000,,25.000,21.000,,17.000,8.000,,21.000,,,,,39.000,24.000,9.000,12.500,,13.500,,,,,,20.500,,,19.500,22.500,21.500,,,12.000,,,,11.760,,9.500,,,,29.000,,23.000,,,,,22.000,,
2025-07-19 09:00,1.500,2.000,,1.000,,1.500,1.500,,0.500,2.000,,2.000,,,,,2.000,3.000,1.500,2.000,,0.500,,,,,,1.000,,,2.500,2.500,3.500,,,1.000,,,,17.720,,1.000,,,,4.000,,1.500,,,,,2.000,,
2025-07-19 10:00,5.500,1.500,,5.000,,2.000,0.000,,3.500,1.000,,3.000,,,,,4.000,0.000,3.000,4.000,,5.000,,,,,,3.500,,,2.000,0.000,1.500,,,7.000,,,,10.360,,5.000,,,,0.000,,0.000,,,,,6.000,,
2025-07-19 11:00,8.000,17.500,,7.000,,18.500,16.000,,7.000,7.500,,19.000,,,,,31.000,11.500,7.000,15.500,,7.500,,,,,,8.000,,,14.500,20.000,13.500,,,8.500,,,,11.350,,8.000,,,,15.000,,16.000,,,,,12.500,,
2025-07-19 12:00,2.000,1.500,,2.000,,1.500,1.000,,2.000,3.500,,1.500,,,,,2.000,1.000,3.000,2.000,,2.500,,,,,,2.000,,,2.000,1.000,1.500,,,2.500,,,,35.620,,2.500,,,,0.500,,1.000,,,,,2.000,,
2025-07-19 13:00,1.000,1.000,,1.000,,1.500,1.000,,1.000,0.500,,1.000,,,,,3.000,1.000,1.000,1.000,,1.000,,,,,,1.000,,,1.000,1.000,1.000,,,1.000,,,,12.810,,1.000,,,,1.500,,1.000,,,,,1.000,,
2025-07-19 14:00,3.000,1.000,,1.500,,1.500,1.500,,2.000,5.500,,1.500,,,,,2.000,1.500,3.500,2.000,,3.500,,,,,,2.500,,,2.000,1.500,2.000,,,2.500,,,,22.030,,2.500,,,,1.500,,1.500,,,,,1.500,,
2025-07-19 15:00,3.500,6.500,,2.500,,2.500,0.500,,3.500,1.500,,5.500,,,,,6.000,0.000,2.000,5.500,,3.000,,,,,,2.000,,,10.000,0.500,9.500,,,5.000,,,,22.870,,4.500,,,,1.000,,1.000,,,,,4.500,,
2025-07-19 16:00,28.500,9.500,,6.500,,1.000,2.500,,18.000,14.500,,7.000,,,,,2.000,2.500,19.500,26.000,,26.500,,,,,,11.500,,,13.500,2.000,13.500,,,24.500,,,,18.050,,25.000,,,,6.500,,2.500,,,,,2.500,,
2025-07-19 17:00,2.000,0.500,,2.000,,0.000,0.500,,1.500,0.000,,1.000,,,,,1.000,0.000,0.000,1.500,,1.000,,,,,,1.500,,,3.000,0.000,2.500,,,2.000,,,,1.480,,1.000,,,,0.000,,0.000,,,,,0.500,,
2025-07-19 18:00,1.000,1.500,,1.000,,1.000,0.500,,1.000,0.500,,1.000,,,,,2.000,0.500,0.500,1.500,,1.000,,,,,,1.000,,,1.000,0.500,0.500,,,1.500,,,,0.810,,0.500,,,,0.000,,1.000,,,,,1.000,,
2025-07-19 19:00,0.000,0.500,,1.500,,2.000,1.500,,0.500,1.000,,1.000,,,,,4.000,2.500,3.500,0.500,,0.500,,,,,,1.000,,,0.000,1.500,0.500,,,0.500,,,,24.590,,1.000,,,,7.000,,1.500,,,,,2.000,,
2025-07-19 20:00,30.500,34.500,,43.500,,50.500,45.000,,33.500,25.000,,37.500,,,,,88.000,50.500,22.500,33.000,,27.500,,,,,,35.500,,,37.000,50.500,36.000,,,24.500,,,,54.690,,22.000,,,,42.500,,48.500,,,,,46.000,,
2025-07-19 21:00,18.000,8.000,,12.000,,12.500,7.500,,14.000,17.000,,10.000,,,,,24.000,9.000,13.000,12.500,,18.000,,,,,,13.500,,,14.500,7.500,12.000,,,17.000,,,,16.170,,13.500,,,,5.000,,10.000,,,,,11.500,,
2025-07-19 22:00,5.000,6.000,,3.000,,2.500,2.500,,4.000,8.000,,5.000,,,,,5.000,1.500,7.000,6.500,,5.000,,,,,,3.500,,,4.000,2.500,5.500,,,5.500,,,,20.080,,7.000,,,,1.500,,2.000,,,,,2.500,,
2025-07-19 23:00,11.500,4.000,,15.500,,7.500,3.500,,14.500,8.000,,5.500,,,,,15.000,2.000,4.500,3.500,,11.000,,,,,,17.000,,,7.000,2.500,6.000,,,6.000,,,,11.160,,4.000,,,,1.500,,5.000,,,,,11.000,,
2025-07-20 00:00,10.500,8.000,,2.500,,2.500,4.000,,3.500,18.000,,6.500,,,,,5.000,5.000,19.500,13.000,,11.000,,,,,,3.000,,,9.500,4.000,10.500,,,15.000,,,,23.450,,19.000,,,,2.500,,3.500,,,,,2.000,,
2025-07-20 01:00,4.500,5.500,,5.000,,8.500,5.500,,7.500,5.500,,4.000,,,,,12.000,8.000,6.000,5.000,,4.500,,,,,,7.500,,,6.500,8.000,5.500,,,4.000,,,,22.280,,8.000,,,,9.000,,7.000,,,,,5.500,,
2025-07-20 02:00,9.000,2.000,,1.500,,3.500,3.500,,0.500,25.500,,2.500,,,,,7.000,3.500,20.500,12.000,,10.500,,,,,,0.500,,,2.500,3.500,3.000,,,11.000,,,,17.490,,20.500,,,,1.500,,3.500,,,,,3.000,,
