Date & Time,Amoranto Sport Complex,Aurora A. Quezon ES,Bagong Lipunan ng Crame Brgy. Hall,Bagong Silangan Evacuation Center,Bagumbayan ES,Balingasa Elementary School,Balingasa High School,Batasan Hills,Brgy Baesa Hall,Brgy Fairview (REC),Brgy N.S Amoranto Hall,Brgy Valencia Hall,Brgy.Tatalon Multipurpose Hall,Carlos P. Garcia HS,Commonwealth High School,Dona Imelda,Dona Juana Elementary School,Emilio Jacinto Sr HS,Flora A Ylagan High School,Holy Spirit,Ismael Mathay Senior High School,Jose Maria Panganiban Senior High School,Jose P Laurel Senior High School,Kaligayahan,Kalusugan Brgy Hall,Kaunlaran Barangay Hall,Laging Handa Hall,Lagro High School,Libis,Lupang Pangako Elementary School,Maharlika Brgy Hall,Maligaya High School,Mariana Barangay Hall,Masambong,Nagkaisang Nayon,New Era Brgy Hall,North Fairview Elementary School,Old Balara Elementary School,Pansol Kaingin 1 Brgy Satellite Office,Payatas ES,Phil-Am,Pinyahan Multipurose Hall,Placido Del Mundo Elementary School,Project 6 Barangay Hall,QCU,Quezon City University San Francisco Campus,Quirino High School,Ramon Magsaysay Brgy Hall,Ramon Magsaysay Elementary School,Ramon Magsaysay HS,Sacred Heart BH,San Agustin Brgy Hall,San Roque Barangay Hall,Sauyo Elementary School,Sikatuna Brgy Hall,South Triangle,Talipapa,Tandang Sora,Toro Hills Elementary School,Ugong Norte,UP Village,White Plains Barangay Hall
2026-08-07,0.500,1.000,1.000,0.500,0.500,0.600,0.740,0.740,0.500,1.000,0.500,1.000,0.500,1.000,0.600,0.500,0.000,0.500,0.600,1.500,0.740,1.000,0.500,0.500,0.500,0.600,0.500,0.600,0.500,0.600,0.500,0.500,0.500,0.500,1.500,1.000,1.000,0.500,1.000,0.500,2.000,1.000,0.600,0.800,0.500,1.000,1.000,0.500,0.800,0.500,0.500,0.500,0.600,1.000,0.500,2.000,0.740,1.500,0.500,0.740,1.000,0.500
2026-08-07,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.230,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.500,0.500,0.000,0.000,0.000,0.000,0.200,0.000,0.500,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2026-08-07,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.060,0.000,0.000
2026-08-07,0.000,0.000,0.000,0.000,0.000,0.000,0.030,0.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.030,0.000,0.000,0.030,0.000,0.000
2026-08-07,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.020,0.000,0.000,0.000,0.000,0.000
2026-08-07,0.000,0.000,0.000,0.000,0.000,0.000,0.070,0.010,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.500,0.000,0.000,0.070,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.050,0.000,0.000,0.020,0.000,0.000
2026-08-07,14.500,8.500,6.000,3.500,4.500,16.800,13.490,4.760,14.000,2.500,15.000,7.500,10.000,14.000,1.800,8.000,0.000,3.000,17.000,7.500,10.440,2.000,8.000,2.500,11.000,6.000,15.000,4.000,5.000,3.200,12.500,1.500,8.000,20.000,6.500,5.000,2.000,3.000,6.000,3.000,41.500,16.000,4.200,13.200,2.500,17.000,14.500,15.000,14.200,10.000,13.500,5.000,5.600,3.000,15.500,40.000,8.050,0.000,14.500,8.920,15.500,4.500
2026-08-07,1.000,0.000,0.500,2.000,0.500,1.200,1.010,1.340,1.500,2.000,1.000,0.500,0.500,1.000,1.600,0.500,0.000,2.000,0.800,4.000,1.360,2.500,1.000,2.500,1.000,0.600,1.000,2.400,0.500,2.400,1.000,2.500,0.500,1.000,6.500,1.500,2.500,1.500,1.000,3.000,2.500,1.000,1.800,1.400,2.500,1.500,0.500,1.000,0.600,1.000,1.000,2.500,0.400,2.000,0.500,2.000,1.800,0.000,1.500,0.830,1.000,1.000
2026-08-07,0.500,0.500,0.500,0.500,0.500,0.400,0.460,0.550,1.000,0.500,0.000,0.500,0.500,0.500,0.400,0.500,0.000,0.500,0.400,1.500,0.720,0.500,0.500,1.500,0.000,0.400,0.500,1.000,0.500,0.600,0.000,1.000,0.000,0.500,2.500,0.500,1.000,1.000,0.500,1.000,1.000,0.500,0.600,0.600,0.500,0.500,0.500,1.000,0.200,0.500,0.500,1.000,0.400,0.500,0.500,1.500,0.570,0.000,1.000,0.460,0.500,0.500
2026-08-07,0.500,0.000,0.000,0.000,0.000,0.200,0.110,0.110,0.000,0.500,0.500,0.000,0.500,0.000,0.200,0.000,0.000,0.000,0.200,0.000,0.110,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.110,0.000,0.000,0.110,0.500,0.000
2026-08-07,0.000,0.000,0.500,0.500,0.500,0.000,0.220,0.220,0.500,0.000,0.000,0.500,0.000,0.500,0.000,0.000,0.000,0.000,0.200,0.500,0.220,0.500,0.500,0.000,0.500,0.200,0.500,0.200,0.500,0.200,0.500,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.500,0.000,0.200,0.000,0.000,0.500,0.000,0.000,0.500,0.500,0.500,0.200,0.000,0.500,1.000,0.220,0.000,0.000,0.220,0.000,0.000
2026-08-07,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000
