event,timestamp,network_mean_mm,network_median_mm,network_max_mm,reporting_sensors,active_sensors,date,hour
CDEHab,2025-07-19 00:00,0.679,0.000,11.610,23,23,2025-07-19,0
CDEHab,2025-07-19 01:00,0.104,0.000,1.890,23,23,2025-07-19,1
CDEHab,2025-07-19 02:00,6.156,3.500,26.500,23,23,2025-07-19,2
CDEHab,2025-07-19 03:00,11.652,10.500,25.000,23,23,2025-07-19,3
CDEHab,2025-07-19 04:00,19.411,20.500,34.000,23,23,2025-07-19,4
CDEHab,2025-07-19 05:00,15.197,15.500,34.000,23,23,2025-07-19,5
CDEHab,2025-07-19 06:00,2.387,1.500,13.900,23,23,2025-07-19,6
CDEHab,2025-07-19 07:00,1.897,2.000,5.500,23,23,2025-07-19,7
CDEHab,2025-07-19 08:00,18.620,19.500,39.000,23,23,2025-07-19,8
CDEHab,2025-07-19 09:00,2.510,2.000,17.720,23,23,2025-07-19,9
CDEHab,2025-07-19 10:00,3.168,3.000,10.360,23,23,2025-07-19,10
CDEHab,2025-07-19 11:00,13.059,12.500,31.000,23,23,2025-07-19,11
CDEHab,2025-07-19 12:00,3.310,2.000,35.620,23,23,2025-07-19,12
CDEHab,2025-07-19 13:00,1.622,1.000,12.810,23,23,2025-07-19,13
CDEHab,2025-07-19 14:00,3.023,2.000,22.030,23,23,2025-07-19,14
CDEHab,2025-07-19 15:00,4.494,3.500,22.870,23,23,2025-07-19,15
CDEHab,2025-07-19 16:00,12.328,11.500,28.500,23,23,2025-07-19,16
CDEHab,2025-07-19 17:00,0.999,1.000,3.000,23,23,2025-07-19,17
CDEHab,2025-07-19 18:00,0.905,1.000,2.000,23,23,2025-07-19,18
CDEHab,2025-07-19 19:00,2.547,1.000,24.590,23,23,2025-07-19,19
CDEHab,2025-07-19 20:00,39.943,37.000,88.000,23,23,2025-07-19,20
CDEHab,2025-07-19 21:00,12.877,12.500,24.000,23,23,2025-07-19,21
CDEHab,2025-07-19 22:00,5.003,5.000,20.080,23,23,2025-07-19,22
CDEHab,2025-07-19 23:00,7.703,6.000,17.000,23,23,2025-07-19,23
CDEHab,2025-07-20 00:00,8.759,6.500,23.450,23,23,2025-07-20,0
CDEHab,2025-07-20 01:00,7.164,6.000,22.280,23,23,2025-07-20,1
CDEHab,2025-07-20 02:00,7.304,3.500,25.500,23,23,2025-07-20,2
CDEHab,2025-07-20 03:00,1.683,1.000,15.720,23,23,2025-07-20,3
CDEHab,2025-07-20 04:00,0.498,0.500,3.960,23,23,2025-07-20,4
CDEHab,2025-07-20 05:00,1.329,1.000,3.570,23,23,2025-07-20,5
CDEHab,2025-07-20 06:00,1.599,1.500,4.500,23,23,2025-07-20,6
CDEHab,2025-07-20 07:00,2.462,2.000,7.000,23,23,2025-07-20,7
CDEHab,2025-07-20 08:00,0.260,0.000,5.990,23,23,2025-07-20,8
CDEHab,2025-07-20 09:00,0.027,0.000,0.500,23,23,2025-07-20,9
CDEHab,2025-07-20 10:00,0.022,0.000,0.500,23,23,2025-07-20,10
CDEHab,2025-07-20 11:00,0.000,0.000,0.000,23,23,2025-07-20,11
CDEHab,2025-07-20 12:00,0.187,0.000,2.500,23,23,2025-07-20,12
CDEHab,2025-07-20 13:00,1.478,0.000,11.500,23,23,2025-07-20,13
CDEHab,2025-07-20 14:00,1.018,1.000,3.500,23,23,2025-07-20,14
CDEHab,2025-07-20 15:00,0.224,0.000,3.150,23,23,2025-07-20,15
CDEHab,2025-07-20 16:00,0.021,0.000,0.490,23,23,2025-07-20,16
CDEHab,2025-07-20 17:00,0.457,0.000,2.000,23,23,2025-07-20,17
CDEHab,2025-07-20 18:00,5.225,5.000,11.500,23,23,2025-07-20,18
CDEHab,2025-07-20 19:00,3.057,2.000,13.500,23,23,2025-07-20,19
CDEHab,2025-07-20 20:00,10.830,10.500,20.500,23,23,2025-07-20,20
CDEHab,2025-07-20 21:00,2.426,0.000,18.300,23,23,2025-07-20,21
CDEHab,2025-07-20 22:00,0.363,0.000,7.840,23,23,2025-07-20,22
CDEHab,2025-07-20 23:00,0.038,0.000,0.870,23,23,2025-07-20,23
CDEHab,2025-07-21 00:00,0.022,0.000,0.500,23,23,2025-07-21,0
CDEHab,2025-07-21 01:00,0.727,0.000,14.730,23,23,2025-07-21,1
CDEHab,2025-07-21 02:00,0.026,0.000,0.600,23,23,2025-07-21,2
CDEHab,2025-07-21 03:00,1.086,0.500,12.480,23,23,2025-07-21,3
CDEHab,2025-07-21 04:00,1.083,1.000,3.000,23,23,2025-07-21,4
CDEHab,2025-07-21 05:00,0.007,0.000,0.150,23,23,2025-07-21,5
CDEHab,2025-07-21 06:00,0.187,0.000,1.000,23,23,2025-07-21,6
CDEHab,2025-07-21 07:00,0.357,0.000,4.720,23,23,2025-07-21,7
CDEHab,2025-07-21 08:00,9.767,8.500,40.640,23,23,2025-07-21,8
CDEHab,2025-07-21 09:00,9.753,7.500,35.820,23,23,2025-07-21,9
CDEHab,2025-07-21 10:00,33.000,36.000,54.000,23,23,2025-07-21,10
CDEHab,2025-07-21 11:00,22.635,13.500,65.000,23,23,2025-07-21,11
CDEHab,2025-07-21 12:00,38.909,32.900,161.000,23,23,2025-07-21,12
CDEHab,2025-07-21 13:00,3.483,1.000,39.110,23,23,2025-07-21,13
CDEHab,2025-07-21 14:00,4.907,5.500,13.000,23,23,2025-07-21,14
CDEHab,2025-07-21 15:00,2.589,1.500,16.550,23,23,2025-07-21,15
CDEHab,2025-07-21 16:00,17.447,15.280,40.500,23,23,2025-07-21,16
CDEHab,2025-07-21 17:00,22.670,19.500,62.000,23,23,2025-07-21,17
CDEHab,2025-07-21 18:00,41.465,31.500,106.000,23,23,2025-07-21,18
CDEHab,2025-07-21 19:00,13.270,11.500,43.200,23,23,2025-07-21,19
CDEHab,2025-07-21 20:00,31.255,26.370,82.000,23,23,2025-07-21,20
CDEHab,2025-07-21 21:00,21.853,18.500,49.110,23,23,2025-07-21,21
CDEHab,2025-07-21 22:00,17.737,17.500,38.000,23,23,2025-07-21,22
CDEHab,2025-07-21 23:00,14.778,17.500,25.890,23,23,2025-07-21,23
MDHab,2026-08-07 00:00,0.744,0.600,2.000,62,62,2026-08-07,0
MDHab,2026-08-07 01:00,0.063,0.000,0.500,62,62,2026-08-07,1
MDHab,2026-08-07 02:00,0.009,0.000,0.500,62,62,2026-08-07,2
MDHab,2026-08-07 03:00,0.030,0.000,0.500,62,62,2026-08-07,3
MDHab,2026-08-07 04:00,0.009,0.000,0.500,62,62,2026-08-07,4
MDHab,2026-08-07 05:00,0.036,0.000,0.500,62,62,2026-08-07,5
MDHab,2026-08-07 06:00,9.503,8.000,41.500,62,62,2026-08-07,6
MDHab,2026-08-07 07:00,1.412,1.000,6.500,62,62,2026-08-07,7
MDHab,2026-08-07 08:00,0.609,0.500,2.500,62,62,2026-08-07,8
MDHab,2026-08-07 09:00,0.110,0.000,1.000,62,62,2026-08-07,9
MDHab,2026-08-07 10:00,0.223,0.200,1.000,62,62,2026-08-07,10
MDHab,2026-08-07 11:00,0.008,0.000,0.500,62,62,2026-08-07,11
MDHab,2026-08-07 12:00,0.086,0.000,1.000,62,62,2026-08-07,12
MDHab,2026-08-07 13:00,0.429,0.000,18.500,62,62,2026-08-07,13
MDHab,2026-08-07 14:00,0.093,0.000,1.000,62,62,2026-08-07,14
MDHab,2026-08-07 15:00,0.854,1.000,3.000,62,62,2026-08-07,15
MDHab,2026-08-07 16:00,1.478,1.500,5.500,62,62,2026-08-07,16
MDHab,2026-08-07 17:00,0.594,0.500,2.000,62,62,2026-08-07,17
MDHab,2026-08-07 18:00,0.587,0.500,1.500,62,62,2026-08-07,18
MDHab,2026-08-07 19:00,0.217,0.000,1.000,62,62,2026-08-07,19
MDHab,2026-08-07 20:00,0.173,0.000,1.000,62,62,2026-08-07,20
MDHab,2026-08-07 21:00,2.360,2.900,8.500,62,62,2026-08-07,21
MDHab,2026-08-07 22:00,0.102,0.000,0.500,62,62,2026-08-07,22
MDHab,2026-08-07 23:00,15.029,14.730,35.500,62,62,2026-08-07,23
MDHab,2026-08-08 00:00,0.506,0.500,1.500,62,62,2026-08-08,0
MDHab,2026-08-08 01:00,1.909,1.910,5.000,62,62,2026-08-08,1
MDHab,2026-08-08 02:00,1.126,1.000,3.000,62,62,2026-08-08,2
MDHab,2026-08-08 03:00,0.142,0.000,0.500,62,62,2026-08-08,3
MDHab,2026-08-08 04:00,0.012,0.000,0.500,62,62,2026-08-08,4
MDHab,2026-08-08 05:00,1.133,0.600,24.000,62,62,2026-08-08,5
MDHab,2026-08-08 06:00,2.276,1.700,38.500,62,62,2026-08-08,6
MDHab,2026-08-08 07:00,0.945,0.500,6.500,62,62,2026-08-08,7
MDHab,2026-08-08 08:00,3.900,3.500,16.000,62,62,2026-08-08,8
MDHab,2026-08-08 09:00,0.163,0.000,4.500,62,62,2026-08-08,9
MDHab,2026-08-08 10:00,18.176,18.000,42.000,62,62,2026-08-08,10
MDHab,2026-08-08 11:00,13.890,13.500,48.000,62,62,2026-08-08,11
MDHab,2026-08-08 12:00,7.652,7.000,25.000,62,62,2026-08-08,12
MDHab,2026-08-08 13:00,7.506,7.000,19.000,62,62,2026-08-08,13
MDHab,2026-08-08 14:00,5.931,5.500,19.000,62,62,2026-08-08,14
MDHab,2026-08-08 15:00,4.747,4.500,15.000,62,62,2026-08-08,15
MDHab,2026-08-08 16:00,3.925,2.500,18.000,62,62,2026-08-08,16
MDHab,2026-08-08 17:00,7.544,7.500,22.500,62,62,2026-08-08,17
MDHab,2026-08-08 18:00,5.201,4.100,20.500,62,62,2026-08-08,18
MDHab,2026-08-08 19:00,13.331,12.000,45.000,62,62,2026-08-08,19
MDHab,2026-08-08 20:00,17.948,16.200,59.500,62,62,2026-08-08,20
MDHab,2026-08-08 21:00,6.227,6.230,26.500,62,62,2026-08-08,21
MDHab,2026-08-08 22:00,3.040,3.000,7.500,62,62,2026-08-08,22
MDHab,2026-08-08 23:00,1.476,1.500,4.500,62,62,2026-08-08,23
MDHab,2026-08-09 00:00,0.010,0.000,0.200,62,62,2026-08-09,0
MDHab,2026-08-09 01:00,2.686,2.690,7.000,62,62,2026-08-09,1
MDHab,2026-08-09 02:00,3.231,3.000,10.000,62,62,2026-08-09,2
MDHab,2026-08-09 03:00,0.727,0.500,3.000,62,62,2026-08-09,3
MDHab,2026-08-09 04:00,16.776,16.500,48.500,62,62,2026-08-09,4
MDHab,2026-08-09 05:00,15.035,14.000,60.000,62,62,2026-08-09,5
MDHab,2026-08-09 06:00,1.237,0.800,23.500,62,62,2026-08-09,6
MDHab,2026-08-09 07:00,0.596,0.010,4.500,62,62,2026-08-09,7
MDHab,2026-08-09 08:00,5.367,4.595,12.500,62,62,2026-08-09,8
MDHab,2026-08-09 09:00,6.466,5.450,31.000,62,62,2026-08-09,9
MDHab,2026-08-09 10:00,22.432,17.000,101.000,62,62,2026-08-09,10
MDHab,2026-08-09 11:00,7.435,6.500,45.500,62,62,2026-08-09,11
MDHab,2026-08-09 12:00,0.194,0.000,4.000,62,62,2026-08-09,12
MDHab,2026-08-09 13:00,0.461,0.500,2.000,62,62,2026-08-09,13
MDHab,2026-08-09 14:00,1.075,1.000,4.000,62,62,2026-08-09,14
MDHab,2026-08-09 15:00,0.077,0.000,0.500,62,62,2026-08-09,15
MDHab,2026-08-09 16:00,0.638,0.500,5.500,62,62,2026-08-09,16
MDHab,2026-08-09 17:00,2.751,2.200,15.500,62,62,2026-08-09,17
MDHab,2026-08-09 18:00,11.471,10.000,39.500,62,62,2026-08-09,18
MDHab,2026-08-09 19:00,5.673,5.000,32.500,62,62,2026-08-09,19
MDHab,2026-08-09 20:00,2.540,2.000,29.500,62,62,2026-08-09,20
MDHab,2026-08-09 21:00,1.484,1.200,9.500,62,62,2026-08-09,21
MDHab,2026-08-09 22:00,0.156,0.000,0.500,62,62,2026-08-09,22
MDHab,2026-08-09 23:00,0.009,0.000,0.500,62,62,2026-08-09,23
