event,timestamp,station,value_mm,review_level,review_score,reasons,network_median_mm,modified_z,iqr_soft_upper_mm,iqr_strong_upper_mm,temporal_median_mm,neighbor_median_mm,neighbor_count,neighbor_ratio,spatial_match_available,systematic_sensor_candidate
CDEHab,2025-07-19 00:00,QCDRRMO,11.610,severe_review,6,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,0.000,inf,1.250,2.000,2.490,0.000,3,24.220,True,True
CDEHab,2025-07-19 02:00,Brgy. Valencia,26.000,severe_review,4,above_1.5_iqr;modified_z_above_3;modified_z_above_3.5;nearest_neighbor_disagreement,3.295,4.648,17.188,27.500,9.750,8.500,3,2.944,True,False
CDEHab,2025-07-19 02:00,Kaingin 1 Satellite Office,15.500,review,2,nearest_neighbor_disagreement,3.295,2.498,17.188,27.500,7.250,5.000,3,2.909,True,False
CDEHab,2025-07-19 02:00,Quirino High School,26.500,review,3,above_1.5_iqr;modified_z_above_3;modified_z_above_3.5;temporally_isolated,3.295,4.750,17.188,27.500,8.250,15.500,3,1.688,True,False
CDEHab,2025-07-19 03:00,Brgy. Valencia,25.000,review,2,above_1.5_iqr;modified_z_above_3;modified_z_above_3.5,10.500,4.347,19.875,26.625,11.750,12.000,3,2.040,True,False
CDEHab,2025-07-19 04:00,Ismael Mathay Senior High School,34.000,review,2,temporally_isolated;sensor_has_systematic_review_flag,20.000,1.574,38.062,52.500,8.500,14.000,3,2.379,True,True
CDEHab,2025-07-19 05:00,Ismael Mathay Senior High School,34.000,review,2,temporally_isolated;sensor_has_systematic_review_flag,15.500,1.468,48.438,74.500,9.500,18.000,3,1.865,True,True
CDEHab,2025-07-19 05:00,QCDRRMO,27.020,review,3,nearest_neighbor_disagreement;sensor_has_systematic_review_flag,15.500,0.914,48.438,74.500,14.180,5.000,3,5.004,True,True
CDEHab,2025-07-19 06:00,QCDRRMO,13.900,severe_review,4,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;sensor_has_systematic_review_flag,1.500,16.728,3.500,5.000,13.110,5.000,3,2.618,True,True
CDEHab,2025-07-19 08:00,Ismael Mathay Senior High School,39.000,review,3,above_1.5_iqr;temporally_isolated;sensor_has_systematic_review_flag,18.750,2.875,35.750,49.625,2.500,23.000,3,1.681,True,True
CDEHab,2025-07-19 09:00,QCDRRMO,17.720,severe_review,6,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,1.750,21.544,3.312,4.625,10.855,1.500,3,9.110,True,True
CDEHab,2025-07-19 10:00,QCDRRMO,10.360,review,2,above_1.5_iqr;sensor_has_systematic_review_flag,3.000,2.482,10.188,15.625,14.740,3.000,3,3.103,True,True
CDEHab,2025-07-19 11:00,Ismael Mathay Senior High School,31.000,severe_review,4,above_1.5_iqr;modified_z_above_3;temporally_isolated;sensor_has_systematic_review_flag,12.000,3.204,27.688,39.500,2.500,16.000,3,1.909,True,True
