event,station,wet_comparison_hours,same_hour_network_correlation,median_network_ratio,high_ratio_fraction,zero_when_network_wet_fraction,mean_absolute_network_difference_mm,best_lag_hours,best_lag_correlation,lag_correlation_improvement,spatial_neighbor_count,median_neighbor_ratio,systematic_review_candidate,review_reasons
CDEHab,Amoranto Sport Complex,32,0.581,1.083,0.062,0.000,6.897,0,0.581,0.000,3,1.000,False,
CDEHab,Bagong Silangan Evacuation Center,32,0.639,0.908,0.125,0.000,7.280,0,0.639,0.000,0,,False,
CDEHab,Balingasa High School,32,0.761,0.842,0.031,0.031,5.048,0,0.761,0.000,5,0.901,False,
CDEHab,Brgy. Baesa,32,0.729,0.968,0.062,0.031,7.336,0,0.729,0.000,3,1.000,False,
CDEHab,Brgy. Fairview,32,0.684,0.797,0.094,0.062,8.727,0,0.684,0.000,0,,False,
CDEHab,Brgy. NS Amoranto,32,0.663,1.091,0.031,0.000,5.498,0,0.663,0.000,3,1.000,False,
CDEHab,Brgy. Valencia,32,0.257,0.869,0.219,0.000,9.577,-2,0.498,0.240,3,1.000,False,
CDEHab,Dona Juana Elementary School,32,0.693,0.895,0.062,0.031,6.992,0,0.693,0.000,3,0.840,False,
CDEHab,Ismael Mathay Senior High School,32,0.761,1.880,0.469,0.031,19.171,0,0.761,0.000,3,1.971,True,persistent_high_bias;persistent_neighbor_disagreement
CDEHab,Jose Maria Panganiban Senior High School,32,0.537,0.637,0.125,0.062,11.692,0,0.537,0.000,3,1.000,False,
CDEHab,Jose P Laurel Senior High School,32,0.370,0.886,0.125,0.000,9.108,-2,0.463,0.093,3,0.902,False,
CDEHab,Kaingin 1 Satellite Office,32,0.731,1.053,0.125,0.000,6.033,0,0.731,0.000,3,0.929,False,
CDEHab,Kalusugan Brgy Hall,32,0.497,1.078,0.156,0.000,7.561,0,0.497,0.000,3,1.000,False,
CDEHab,Maharlika Brgy Hall,32,0.697,1.080,0.031,0.000,5.272,0,0.697,0.000,3,1.068,False,
CDEHab,New Era Brgy Hall,32,0.923,1.010,0.031,0.000,2.639,0,0.923,0.000,3,0.909,False,
CDEHab,North Fairview Elementary School,32,0.686,0.630,0.094,0.062,9.844,0,0.686,0.000,3,0.934,False,
CDEHab,Old Balara Elementary School,32,0.851,1.018,0.062,0.000,3.771,0,0.851,0.000,3,1.083,False,
CDEHab,Pinyahan Multipurpose Hall,32,0.563,1.145,0.156,0.000,7.506,0,0.563,0.000,0,,False,
CDEHab,QCDRRMO,32,0.552,1.689,0.406,0.000,12.691,0,0.552,0.000,3,2.089,True,persistent_high_bias;persistent_neighbor_disagreement
CDEHab,Quirino High School,32,0.386,0.986,0.125,0.031,8.756,-2,0.399,0.013,3,0.975,False,
CDEHab,San Agustin Brgy Hall,32,0.426,0.519,0.188,0.062,12.310,1,0.428,0.002,3,0.886,False,
CDEHab,Sauyo Elementary School,32,0.715,0.896,0.062,0.062,8.445,0,0.715,0.000,3,0.746,False,
CDEHab,Toro Hills Elementary School,32,0.896,0.920,0.000,0.031,3.926,0,0.896,0.000,3,0.861,False,
MDHab,Amoranto Sport Complex,27,0.910,0.947,0.000,0.000,1.550,0,0.910,0.000,5,0.953,False,
MDHab,Aurora A. Quezon ES,27,0.827,0.909,0.000,0.000,2.070,0,0.827,0.000,5,1.000,False,
MDHab,Bagong Lipunan ng Crame Brgy. Hall,27,0.779,1.000,0.000,0.000,2.310,0,0.779,0.000,5,1.000,False,
MDHab,Bagong Silangan Evacuation Center,27,0.707,1.143,0.185,0.000,4.525,0,0.707,0.000,0,,False,
