event,day_number,date,station,daily_accumulation_mm,review_level,review_score,reasons,network_daily_median_mm,modified_z,iqr_upper_mm,neighbor_daily_median_mm,neighbor_count
CDEHab,1,2025-07-19,Ismael Mathay Senior High School,318.000,severe_review,5,daily_above_1.5_iqr;daily_modified_z_above_3.5;daily_nearest_neighbor_disagreement;sensor_has_systematic_review_flag,176.000,8.514,218.875,172.500,3
CDEHab,1,2025-07-19,QCDRRMO,382.150,severe_review,5,daily_above_1.5_iqr;daily_modified_z_above_3.5;daily_nearest_neighbor_disagreement;sensor_has_systematic_review_flag,176.000,12.360,218.875,186.500,3
CDEHab,2,2025-07-20,QCDRRMO,160.420,severe_review,5,daily_above_1.5_iqr;daily_modified_z_above_3.5;daily_nearest_neighbor_disagreement;sensor_has_systematic_review_flag,46.750,6.013,101.500,81.000,3
CDEHab,3,2025-07-21,Ismael Mathay Senior High School,677.000,severe_review,5,daily_above_1.5_iqr;daily_modified_z_above_3.5;daily_nearest_neighbor_disagreement;sensor_has_systematic_review_flag,273.750,4.710,507.062,340.500,3
CDEHab,3,2025-07-21,QCDRRMO,576.250,severe_review,5,daily_above_1.5_iqr;daily_modified_z_above_3.5;daily_nearest_neighbor_disagreement;sensor_has_systematic_review_flag,273.750,3.533,507.062,205.500,3
MDHab,1,2026-08-07,Nagkaisang Nayon,57.500,review,3,daily_nearest_neighbor_disagreement;sensor_has_systematic_review_flag,36.000,2.231,66.690,22.500,3
MDHab,1,2026-08-07,Phil-Am,100.500,severe_review,5,daily_above_1.5_iqr;daily_modified_z_above_3.5;daily_nearest_neighbor_disagreement;sensor_has_systematic_review_flag,36.000,6.693,66.690,40.000,5
MDHab,1,2026-08-07,South Triangle,103.000,severe_review,5,daily_above_1.5_iqr;daily_modified_z_above_3.5;daily_nearest_neighbor_disagreement;sensor_has_systematic_review_flag,36.000,6.953,66.690,40.000,5
MDHab,2,2026-08-08,Holy Spirit,291.000,severe_review,5,daily_above_1.5_iqr;daily_modified_z_above_3.5;daily_nearest_neighbor_disagreement;sensor_has_systematic_review_flag,115.000,12.496,157.800,127.500,5
MDHab,2,2026-08-08,Nagkaisang Nayon,298.000,severe_review,5,daily_above_1.5_iqr;daily_modified_z_above_3.5;daily_nearest_neighbor_disagreement;sensor_has_systematic_review_flag,115.000,12.993,157.800,119.000,3
MDHab,2,2026-08-08,Phil-Am,294.500,severe_review,5,daily_above_1.5_iqr;daily_modified_z_above_3.5;daily_nearest_neighbor_disagreement;sensor_has_systematic_review_flag,115.000,12.745,157.800,125.000,5
MDHab,2,2026-08-08,South Triangle,283.500,severe_review,5,daily_above_1.5_iqr;daily_modified_z_above_3.5;daily_nearest_neighbor_disagreement;sensor_has_systematic_review_flag,115.000,11.963,157.800,110.500,5
MDHab,2,2026-08-08,Tandang Sora,345.510,severe_review,5,daily_above_1.5_iqr;daily_modified_z_above_3.5;daily_nearest_neighbor_disagreement;sensor_has_systematic_review_flag,115.000,16.366,157.800,123.000,5
MDHab,3,2026-08-09,Bagong Silangan Evacuation Center,154.000,review,2,daily_above_1.5_iqr;daily_modified_z_above_3.5,98.200,4.091,134.775,,0
MDHab,3,2026-08-09,Holy Spirit,321.000,severe_review,5,daily_above_1.5_iqr;daily_modified_z_above_3.5;daily_nearest_neighbor_disagreement;sensor_has_systematic_review_flag,98.200,16.335,134.775,112.850,5
MDHab,3,2026-08-09,Nagkaisang Nayon,178.500,severe_review,5,daily_above_1.5_iqr;daily_modified_z_above_3.5;daily_nearest_neighbor_disagreement;sensor_has_systematic_review_flag,98.200,5.887,134.775,87.000,3
MDHab,3,2026-08-09,Old Balara Elementary School,136.000,review,1,daily_above_1.5_iqr,98.200,2.771,134.775,112.850,5
MDHab,3,2026-08-09,Phil-Am,215.500,severe_review,5,daily_above_1.5_iqr;daily_modified_z_above_3.5;daily_nearest_neighbor_disagreement;sensor_has_systematic_review_flag,98.200,8.600,134.775,99.000,5
MDHab,3,2026-08-09,South Triangle,226.500,severe_review,5,daily_above_1.5_iqr;daily_modified_z_above_3.5;daily_nearest_neighbor_disagreement;sensor_has_systematic_review_flag,98.200,9.406,134.775,94.500,5
MDHab,3,2026-08-09,Tandang Sora,267.000,severe_review,5,daily_above_1.5_iqr;daily_modified_z_above_3.5;daily_nearest_neighbor_disagreement;sensor_has_systematic_review_flag,98.200,12.376,134.775,102.220,5
