event,station,neighbor_station,neighbor_rank,distance_km,within_configured_radius
CDEHab,Amoranto Sport Complex,Kalusugan Brgy Hall,1,0.560,True
CDEHab,Amoranto Sport Complex,Balingasa High School,2,2.846,True
CDEHab,Amoranto Sport Complex,Brgy. Valencia,3,2.986,True
CDEHab,Balingasa High School,Maharlika Brgy Hall,1,1.650,True
CDEHab,Balingasa High School,Brgy. NS Amoranto,2,2.070,True
CDEHab,Balingasa High School,Toro Hills Elementary School,3,2.493,True
CDEHab,Balingasa High School,Amoranto Sport Complex,4,2.846,True
CDEHab,Balingasa High School,Brgy. Baesa,5,2.893,True
CDEHab,Brgy. Baesa,Ismael Mathay Senior High School,1,1.115,True
CDEHab,Brgy. Baesa,Toro Hills Elementary School,2,1.333,True
CDEHab,Brgy. Baesa,Balingasa High School,3,2.893,True
CDEHab,Brgy. NS Amoranto,Maharlika Brgy Hall,1,0.483,True
CDEHab,Brgy. NS Amoranto,Balingasa High School,2,2.070,True
CDEHab,Brgy. NS Amoranto,Kalusugan Brgy Hall,3,3.129,False
CDEHab,Brgy. Valencia,Kalusugan Brgy Hall,1,2.678,True
CDEHab,Brgy. Valencia,Amoranto Sport Complex,2,2.986,True
CDEHab,Brgy. Valencia,Jose P Laurel Senior High School,3,3.505,False
CDEHab,Dona Juana Elementary School,Old Balara Elementary School,1,1.952,True
CDEHab,Dona Juana Elementary School,North Fairview Elementary School,2,2.711,True
CDEHab,Dona Juana Elementary School,New Era Brgy Hall,3,3.631,False
CDEHab,Ismael Mathay Senior High School,Brgy. Baesa,1,1.115,True
CDEHab,Ismael Mathay Senior High School,Toro Hills Elementary School,2,1.208,True
CDEHab,Ismael Mathay Senior High School,Sauyo Elementary School,3,2.787,True
CDEHab,Jose Maria Panganiban Senior High School,San Agustin Brgy Hall,1,1.882,True
CDEHab,Jose Maria Panganiban Senior High School,Sauyo Elementary School,2,2.593,True
CDEHab,Jose Maria Panganiban Senior High School,North Fairview Elementary School,3,3.014,False
CDEHab,Jose P Laurel Senior High School,Quirino High School,1,1.052,True
CDEHab,Jose P Laurel Senior High School,QCDRRMO,2,3.304,False
CDEHab,Jose P Laurel Senior High School,Brgy. Valencia,3,3.505,False
CDEHab,Kaingin 1 Satellite Office,Old Balara Elementary School,1,2.025,True
CDEHab,Kaingin 1 Satellite Office,New Era Brgy Hall,2,2.709,True
CDEHab,Kaingin 1 Satellite Office,Quirino High School,3,3.139,False
CDEHab,Kalusugan Brgy Hall,Amoranto Sport Complex,1,0.560,True
CDEHab,Kalusugan Brgy Hall,Brgy. Valencia,2,2.678,True
CDEHab,Kalusugan Brgy Hall,Balingasa High School,3,3.120,False
CDEHab,Maharlika Brgy Hall,Brgy. NS Amoranto,1,0.483,True
CDEHab,Maharlika Brgy Hall,Balingasa High School,2,1.650,True
CDEHab,Maharlika Brgy Hall,Kalusugan Brgy Hall,3,3.221,False
CDEHab,New Era Brgy Hall,Old Balara Elementary School,1,2.013,True
CDEHab,New Era Brgy Hall,QCDRRMO,2,2.165,True
CDEHab,New Era Brgy Hall,Kaingin 1 Satellite Office,3,2.709,True
CDEHab,North Fairview Elementary School,Dona Juana Elementary School,1,2.711,True
CDEHab,North Fairview Elementary School,Jose Maria Panganiban Senior High School,2,3.014,False
CDEHab,North Fairview Elementary School,Sauyo Elementary School,3,3.250,False
CDEHab,Old Balara Elementary School,Dona Juana Elementary School,1,1.952,True
CDEHab,Old Balara Elementary School,New Era Brgy Hall,2,2.013,True
CDEHab,Old Balara Elementary School,Kaingin 1 Satellite Office,3,2.025,True
CDEHab,QCDRRMO,New Era Brgy Hall,1,2.165,True
CDEHab,QCDRRMO,Quirino High School,2,2.403,True
CDEHab,QCDRRMO,Jose P Laurel Senior High School,3,3.304,False
CDEHab,Quirino High School,Jose P Laurel Senior High School,1,1.052,True
CDEHab,Quirino High School,QCDRRMO,2,2.403,True
CDEHab,Quirino High School,Kaingin 1 Satellite Office,3,3.139,False
CDEHab,San Agustin Brgy Hall,Jose Maria Panganiban Senior High School,1,1.882,True
CDEHab,San Agustin Brgy Hall,North Fairview Elementary School,2,3.697,False
CDEHab,San Agustin Brgy Hall,Sauyo Elementary School,3,4.441,False
CDEHab,Sauyo Elementary School,Jose Maria Panganiban Senior High School,1,2.593,True
CDEHab,Sauyo Elementary School,Ismael Mathay Senior High School,2,2.787,True
CDEHab,Sauyo Elementary School,New Era Brgy Hall,3,3.222,False
CDEHab,Toro Hills Elementary School,Ismael Mathay Senior High School,1,1.208,True
CDEHab,Toro Hills Elementary School,Brgy. Baesa,2,1.333,True
CDEHab,Toro Hills Elementary School,Balingasa High School,3,2.493,True
MDHab,Amoranto Sport Complex,Kalusugan Brgy Hall,1,0.560,True
MDHab,Amoranto Sport Complex,South Triangle,2,0.762,True
MDHab,Amoranto Sport Complex,Laging Handa Hall,3,0.949,True
MDHab,Amoranto Sport Complex,Dona Imelda,4,1.791,True
MDHab,Amoranto Sport Complex,Masambong,5,1.854,True
MDHab,Aurora A. Quezon ES,Dona Imelda,1,1.062,True
MDHab,Aurora A. Quezon ES,Ramon Magsaysay Elementary School,2,1.777,True
MDHab,Aurora A. Quezon ES,Kalusugan Brgy Hall,3,1.885,True
MDHab,Aurora A. Quezon ES,Brgy N.S Amoranto Hall,4,2.325,True
MDHab,Aurora A. Quezon ES,Amoranto Sport Complex,5,2.354,True
MDHab,Bagong Lipunan ng Crame Brgy. Hall,Kaunlaran Barangay Hall,1,0.557,True
MDHab,Bagong Lipunan ng Crame Brgy. Hall,Brgy Valencia Hall,2,1.342,True
MDHab,Bagong Lipunan ng Crame Brgy. Hall,San Roque Barangay Hall,3,1.479,True
MDHab,Bagong Lipunan ng Crame Brgy. Hall,Mariana Barangay Hall,4,1.489,True
MDHab,Bagong Lipunan ng Crame Brgy. Hall,Ramon Magsaysay HS,5,1.565,True
MDHab,Bagumbayan ES,Libis,1,1.271,True
MDHab,Bagumbayan ES,White Plains Barangay Hall,2,1.433,True
MDHab,Bagumbayan ES,Ugong Norte,3,1.853,True
MDHab,Bagumbayan ES,Jose P Laurel Senior High School,4,2.304,True
MDHab,Bagumbayan ES,San Roque Barangay Hall,5,2.532,True
MDHab,Balingasa Elementary School,Balingasa High School,1,0.584,True
MDHab,Balingasa Elementary School,Masambong,2,1.577,True
MDHab,Balingasa Elementary School,Maharlika Brgy Hall,3,1.883,True
MDHab,Balingasa Elementary School,Ramon Magsaysay Brgy Hall,4,2.321,True
MDHab,Balingasa Elementary School,Brgy N.S Amoranto Hall,5,2.351,True
MDHab,Balingasa High School,Balingasa Elementary School,1,0.584,True
MDHab,Balingasa High School,Masambong,2,0.997,True
MDHab,Balingasa High School,Maharlika Brgy Hall,3,1.650,True
MDHab,Balingasa High School,Brgy N.S Amoranto Hall,4,2.070,True
MDHab,Balingasa High School,Ramon Magsaysay Elementary School,5,2.212,True
MDHab,Batasan Hills,Dona Juana Elementary School,1,1.552,True
MDHab,Batasan Hills,Commonwealth High School,2,1.860,True
MDHab,Batasan Hills,Holy Spirit,3,2.240,True
MDHab,Batasan Hills,Payatas ES,4,2.652,True
MDHab,Batasan Hills,Old Balara Elementary School,5,2.900,True
MDHab,Brgy Baesa Hall,Ismael Mathay Senior High School,1,1.115,True
MDHab,Brgy Baesa Hall,Toro Hills Elementary School,2,1.333,True
MDHab,Brgy Baesa Hall,Ramon Magsaysay Brgy Hall,3,1.904,True
MDHab,Brgy Baesa Hall,Placido Del Mundo Elementary School,4,2.142,True
MDHab,Brgy Baesa Hall,Quezon City University San Francisco Campus,5,2.370,True
MDHab,Brgy N.S Amoranto Hall,Maharlika Brgy Hall,1,0.483,True
MDHab,Brgy N.S Amoranto Hall,Ramon Magsaysay Elementary School,2,0.559,True
MDHab,Brgy N.S Amoranto Hall,Masambong,3,2.064,True
MDHab,Brgy N.S Amoranto Hall,Balingasa High School,4,2.070,True
MDHab,Brgy N.S Amoranto Hall,Aurora A. Quezon ES,5,2.325,True
MDHab,Brgy Valencia Hall,Mariana Barangay Hall,1,1.003,True
MDHab,Brgy Valencia Hall,Kaunlaran Barangay Hall,2,1.189,True
MDHab,Brgy Valencia Hall,Bagong Lipunan ng Crame Brgy. Hall,3,1.342,True
MDHab,Brgy Valencia Hall,Ramon Magsaysay HS,4,2.282,True
MDHab,Brgy Valencia Hall,Dona Imelda,5,2.472,True
MDHab,Brgy.Tatalon Multipurpose Hall,Ismael Mathay Senior High School,1,1.115,True
MDHab,Brgy.Tatalon Multipurpose Hall,Toro Hills Elementary School,2,1.333,True
MDHab,Brgy.Tatalon Multipurpose Hall,Ramon Magsaysay Brgy Hall,3,1.904,True
