event,station,alias_used,matched,matched_gauge_name,match_score,match_method,x_m,y_m
CDEHab,Amoranto Sport Complex,Amoranto Sport Complex,True,NS Amoranto Sports Complex,0.917,fuzzy,287178.993,1618384.401
CDEHab,Bagong Silangan Evacuation Center,Bagong Silangan Evacuation Center,False,,0.692,unmatched,,
CDEHab,Balingasa High School,Balingasa High School,True,Balingasa High School,1.000,exact,285102.455,1620330.193
CDEHab,Brgy. Baesa,Brgy Baesa Hall,True,Barangay Baesa Multi-Purpose Hall,0.950,fuzzy,285872.393,1623119.173
CDEHab,Brgy. Fairview,Brgy Fairview (REC),False,,0.706,unmatched,,
CDEHab,Brgy. NS Amoranto,Brgy N.S Amoranto Hall,True,N.S Amoranto Barangay Hall,1.000,fuzzy,283961.901,1618603.035
CDEHab,Brgy. Valencia,Brgy Valencia Hall,True,Valencia Barangay Hall,1.000,fuzzy,288818.430,1615888.338
CDEHab,Dona Juana Elementary School,Dona Juana Elementary School,True,Doña Juana Elementary School,1.000,exact,293449.670,1624879.355
CDEHab,Ismael Mathay Senior High School,Ismael Mathay Senior High School,True,Ismael Mathay Senior High School,1.000,exact,286962.518,1623355.595
CDEHab,Jose Maria Panganiban Senior High School,Jose Maria Panganiban Senior High School,True,Jose Maria Panganiban Senior High School,1.000,exact,288776.120,1627426.617
CDEHab,Jose P Laurel Senior High School,Jose P Laurel Senior High School,True,Jose P. Laurel Senior High School,1.000,exact,291975.326,1617410.274
CDEHab,Kaingin 1 Satellite Office,Pansol Kaingin 1 Brgy Satellite Office,True,Kaingin 1 Satellite Office,0.950,fuzzy,293521.752,1621108.528
CDEHab,Kalusugan Brgy Hall,Kalusugan Brgy Hall,True,Kalusugan Barangay Hall,1.000,exact,287000.379,1617854.036
CDEHab,Maharlika Brgy Hall,Maharlika Brgy Hall,True,Maharlika Barangay Hall,1.000,exact,284022.989,1619082.400
CDEHab,New Era Brgy Hall,New Era Brgy Hall,True,New Era Barangay Hall,1.000,exact,291030.140,1622171.794
CDEHab,North Fairview Elementary School,North Fairview Elementary School,True,North Fairview Elementary School,1.000,exact,291760.033,1626999.909
CDEHab,Old Balara Elementary School,Old Balara Elementary School,True,Old Balara Elementary School,1.000,exact,292855.572,1623020.431
CDEHab,Pinyahan Multipurpose Hall,Pinyahan Multipurose Hall,False,,0.764,unmatched,,
CDEHab,QCDRRMO,QCDRRMO,True,QCDRRMO Building,0.950,fuzzy,290176.522,1620182.276
CDEHab,Quirino High School,Quirino High School,True,Quirino High School,1.000,exact,291846.519,1618454.108
CDEHab,San Agustin Brgy Hall,San Agustin Brgy Hall,True,San Agustin Barangay Hall,1.000,exact,288871.383,1629306.412
CDEHab,Sauyo Elementary School,Sauyo Elementary School,True,Sauyo Elementary School,1.000,exact,289292.118,1624885.199
